Ref,Codec,CRF,Comp,FileStream,PSNR_Y,PSNR_CB,PSNR_CR,SSIM,CAMBI,VMAF,BBAND,Height,Width,NumFrames,SI,TI,BBAND(Adaband)
FlowingRiverLowSpeedLowGran_300frames_1920x1080.yuv,H265,41,FlowingRiverLowSpeedLowGran_300frames_1920x1080_H265_CRF41_.yuv,FlowingRiverLowSpeedLowGran_300frames_1920x1080_H265_CRF41_.txt,37.83156645,44.45087573,49.52188337,0.965113483,9.460569783,46.18706835,0.7385164,1080,1920,300,9.98,5.51,0.411
FlowingRiverLowSpeedLowGran_300frames_1920x1080.yuv,H265,31,FlowingRiverLowSpeedLowGran_300frames_1920x1080_H265_CRF31_.yuv,FlowingRiverLowSpeedLowGran_300frames_1920x1080_H265_CRF31_.txt,39.91977671,47.37925479,51.72502077,0.985867057,5.611680513,68.60318619,0.5008534,1080,1920,300,9.98,5.51,0.359
FlowingRiverLowSpeedLowGran_300frames_1920x1080.yuv,AV1,63,FlowingRiverLowSpeedLowGran_300frames_1920x1080_AV1_CRF63_.yuv,FlowingRiverLowSpeedLowGran_300frames_1920x1080_AV1_CRF63_.txt,37.99869091,45.43855925,50.1268454,0.96897585,17.20161855,39.29349944,1.092557,1080,1920,300,9.98,5.51,0.375
FlowingRiverLowSpeedLowGran_300frames_1920x1080.yuv,AV1,51,FlowingRiverLowSpeedLowGran_300frames_1920x1080_AV1_CRF51_.yuv,FlowingRiverLowSpeedLowGran_300frames_1920x1080_AV1_CRF51_.txt,39.7145064,49.26536452,54.22505552,0.984314497,15.92351409,59.02277503,0.8434042,1080,1920,300,9.98,5.51,0.369
FlowingRiverLowSpeedLowGran_300frames_1920x1080.yuv,AV1,38,FlowingRiverLowSpeedLowGran_300frames_1920x1080_AV1_CRF38_.yuv,FlowingRiverLowSpeedLowGran_300frames_1920x1080_AV1_CRF38_.txt,40.37763314,51.22979365,55.69079179,0.990182493,16.45419092,70.15998929,0.8958463,1080,1920,300,9.98,5.51,0.392
FlowingRiverLowSpeedLowGran_300frames_1920x1080.yuv,AV1,26,FlowingRiverLowSpeedLowGran_300frames_1920x1080_AV1_CRF26_.yuv,FlowingRiverLowSpeedLowGran_300frames_1920x1080_AV1_CRF26_.txt,40.70463994,53.12888695,56.50529047,0.992966707,16.57317551,77.56711883,0.9132802,1080,1920,300,9.98,5.51,0.41
FlowingRiverLowSpeedLowGran_300frames_1920x1080.yuv,AV1,13,FlowingRiverLowSpeedLowGran_300frames_1920x1080_AV1_CRF13_.yuv,FlowingRiverLowSpeedLowGran_300frames_1920x1080_AV1_CRF13_.txt,40.94524407,54.28754978,57.00427998,0.994366713,15.58559476,82.24594921,0.84811,1080,1920,300,9.98,5.51,0.392
GTAV_8.yuv,AV1,63,GTAV_8_AV1_CRF63_.yuv,GTAV_8_AV1_CRF63_.txt,37.1937901,45.44341078,46.38082511,0.964019247,5.468882363,55.07558,0.6083979,1080,1920,300,40.9,11.2,0.428
GTAV_8.yuv,AV1,51,GTAV_8_AV1_CRF51_.yuv,GTAV_8_AV1_CRF51_.txt,41.19083195,48.71515504,48.97252404,0.987309793,5.67661764,81.11585051,0.633769,1080,1920,300,40.9,11.2,0.425
GTAV_8.yuv,AV1,38,GTAV_8_AV1_CRF38_.yuv,GTAV_8_AV1_CRF38_.txt,43.60530097,50.46882605,50.33764711,0.993830407,5.452375683,89.33595138,0.6700076,1080,1920,300,40.9,11.2,0.425
